release_date,title,release_year,vote_average,vote_count
1995-07-19,The Usual Suspects,1995,8.1,3334.0
1994-11-22,Guardian Angel,1994,6.3,3.0
1995-09-13,Mighty Aphrodite,1995,6.7,145.0
1994-01-01,Lamerica,1994,7.7,11.0
1995-09-29,The Big Green,1995,5.2,41.0
1995-05-19,Georgia,1995,6.1,15.0
1997-07-08,Kids of the Round Table,1997,3.0,1.0
1995-11-02,Home for the Holidays,1995,6.3,39.0
1994-09-22,The Postman,1994,7.6,181.0
1995-09-29,The Confessional,1995,6.5,2.0
1995-07-14,The Indian in the Cupboard,1995,5.9,136.0
1996-01-12,Eye for an Eye,1996,5.8,65.0
1995-12-29,Mr. Holland's Opus,1995,6.9,115.0
1996-01-12,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,6.2,192.0
1996-01-12,Two If by Sea,1996,4.5,14.0
1996-01-12,Bio-Dome,1996,4.4,110.0
1996-01-12,Lawnmower Man 2: Beyond Cyberspace,1996,2.8,32.0
1995-10-22,Two Bits,1995,5.4,11.0
1995-02-08,French Twist,1995,6.0,43.0
1995-04-26,Friday,1995,7.0,513.0
1996-01-19,From Dusk Till Dawn,1996,6.9,1644.0
1995-11-03,Fair Game,1995,4.1,54.0
1995-10-06,Kicking and Screaming,1995,7.0,36.0
1995-03-22,Les Miserables,1995,6.6,8.0
1996-01-26,Bed of Roses,1996,5.1,27.0
1996-01-26,Big Bully,1996,3.9,16.0
1995-09-08,Screamers,1995,6.1,154.0
1995-02-18,Nico Icon,1995,7.3,3.0
1995-11-15,The Crossing Guard,1995,6.1,74.0
1996-02-02,The Juror,1996,5.5,91.0
1995-01-01,The White Balloon,1995,7.5,20.0
1995-12-01,Things to Do in Denver When You're Dead,1995,6.7,87.0
1995-09-12,Antonia's Line,1995,7.2,26.0
1996-01-26,Once Upon a Time... When We Were Colored,1996,4.5,2.0
1995-11-22,Last Summer in the Hamptons,1995,0.0,0.0
1995-09-10,Angels and Insects,1995,6.3,17.0
1996-02-02,White Squall,1996,6.3,86.0
1996-01-12,Dunston Checks In,1996,5.1,59.0
1996-02-01,Black Sheep,1996,6.0,124.0
1995-11-22,Nick of Time,1995,6.1,190.0
1995-09-14,The Journey of August King,1995,6.7,3.0
1996-02-23,Mary Reilly,1996,5.7,77.0
1995-10-26,Vampire in Brooklyn,1995,4.5,113.0
1996-02-09,Beautiful Girls,1996,6.6,103.0
1996-02-09,Broken Arrow,1996,5.7,459.0
1995-12-01,A Midwinter's Tale,1995,7.5,6.0
1995-05-31,La Haine,1995,7.9,695.0
1994-12-06,Shopping,1994,5.6,13.0
1995-12-27,Heidi Fleiss: Hollywood Madam,1995,6.8,4.0
1996-02-16,City Hall,1996,6.0,67.0
1996-02-21,Bottle Rocket,1996,6.8,285.0
1996-02-16,Mr. Wrong,1996,3.3,16.0
1996-02-23,Unforgettable,1996,5.3,22.0
1996-02-16,Happy Gilmore,1996,6.5,767.0
1995-05-28,The Bridges of Madison County,1995,7.3,397.0
1994-11-07,Nobody Loves Me,1994,5.1,5.0
1996-02-16,Muppet Treasure Island,1996,6.5,93.0
1995-12-08,Catwalk,1995,7.0,2.0
1995-05-20,Headless Body in Topless Bar,1995,0.0,0.0
1995-05-24,Braveheart,1995,7.7,3404.0
1976-02-07,Taxi Driver,1976,8.1,2632.0
1995-01-30,Rumble in the Bronx,1995,6.5,245.0
1996-02-23,Before and After,1996,5.8,37.0
1995-09-13,Margaret's Museum,1995,7.5,2.0
1995-01-31,Happiness Is in the Field,1995,7.0,23.0
1995-06-08,Anne Frank Remembered,1995,7.3,4.0
1995-01-20,The Young Poisoner's Handbook,1995,6.9,19.0
1996-03-08,If Lucy Fell,1996,5.4,11.0
1995-09-29,Steal Big Steal Little,1995,5.1,7.0
1996-03-22,Race the Sun,1996,5.2,21.0
1992-12-06,The Boys of St. Vincent,1992,7.0,7.0
1992-06-30,Boomerang,1992,5.4,139.0
1994-07-14,Chungking Express,1994,7.9,249.0
1995-09-21,The Star Maker,1995,6.8,29.0
1996-03-22,Flirting with Disaster,1996,6.3,66.0
1994-10-26,The Neverending Story III: Escape from Fantasia,1994,4.4,105.0
1994-09-30,The Silences of the Palace,1994,4.3,3.0
1995-01-01,Jupiter's Wife,1995,0.0,0.0
1996-02-09,Pie in the Sky,1996,7.0,2.0
1995-01-01,Angela,1995,5.6,9.0
1995-11-22,Frankie Starlight,1995,5.4,4.0
1995-10-13,Jade,1995,5.1,45.0
1995-08-16,Nueba Yol,1995,5.5,1.0
1995-08-01,Sonic Outlaws,1995,0.0,0.0
1996-03-01,Down Periscope,1996,5.6,110.0
1995-09-08,From the Journals of Jean Seberg,1995,6.5,2.0
1995-09-15,Man of the Year,1995,3.8,2.0
1995-08-23,The Neon Bible,1995,7.2,5.0
1995-08-01,Target,1995,0.0,0.0
1996-03-01,Up Close & Personal,1996,5.9,51.0
1996-03-08,The Birdcage,1996,6.7,303.0
1995-10-12,Virgin Mary,1995,7.0,2.0
1995-08-09,The Brothers McMullen,1995,6.3,23.0
1995-04-07,Bad Boys,1995,6.5,1729.0
1995-08-25,The Amazing Panda Adventure,1995,5.0,31.0
1995-04-21,The Basketball Diaries,1995,7.2,472.0
1995-07-21,An Awfully Big Adventure,1995,6.0,11.0
1994-08-05,Amateur,1994,6.5,21.0
1995-06-30,Apollo 13,1995,7.3,1637.0
1995-04-13,Rob Roy,1995,6.5,151.0
1995-01-10,The Addiction,1995,6.4,46.0
1995-06-16,Batman Forever,1995,5.2,1529.0
1967-05-24,Belle de Jour,1967,7.3,163.0
1995-05-24,Beyond Rangoon,1995,6.4,21.0
1995-09-15,Blue in the Face,1995,6.8,28.0
1995-06-08,Canadian Bacon,1995,5.9,57.0
1995-05-26,Casper,1995,6.0,1045.0
1995-09-15,Clockers,1995,6.8,69.0
1995-06-09,Congo,1995,5.0,214.0
1995-05-12,Crimson Tide,1995,7.0,508.0
1994-09-10,Crumb,1994,7.6,71.0
1995-08-25,Desperado,1995,6.8,898.0
1995-09-15,Devil in a Blue Dress,1995,6.3,88.0
1995-05-19,Die Hard: With a Vengeance,1995,6.9,2094.0
1995-10-27,The Doom Generation,1995,5.6,57.0
1995-10-12,Feast of July,1995,0.0,0.0
1995-07-07,First Knight,1995,5.9,319.0
1995-07-19,Free Willy 2 - The Adventure Home,1995,5.5,130.0
1995-09-14,Hackers,1995,6.2,406.0
1995-08-18,Jeffrey,1995,6.5,19.0
1995-05-26,Johnny Mnemonic,1995,5.5,380.0
1995-06-30,Judge Dredd,1995,5.4,643.0
1995-04-12,Jury Duty,1995,4.0,34.0
1995-07-28,Kids,1995,6.8,280.0
1995-01-20,Living in Oblivion,1995,7.2,64.0
1995-08-25,Lord of Illusions,1995,5.9,87.0
1993-05-20,Love & Human Remains,1993,7.0,7.0
1995-05-26,Mad Love,1995,5.5,27.0
1995-10-20,Mallrats,1995,6.8,400.0
1995-06-30,Mighty Morphin Power Rangers: The Movie,1995,5.2,153.0
1995-09-29,Moonlight and Valentino,1995,5.6,10.0
1995-09-28,Mute Witness,1995,6.4,36.0
1994-09-13,Nadja,1994,5.9,12.0
1995-07-28,The Net,1995,5.6,359.0
1995-07-12,Nine Months,1995,5.5,171.0
1995-06-09,Party Girl,1995,5.8,14.0
1995-09-01,The Prophecy,1995,6.4,139.0
1995-11-17,Reckless,1995,10.0,1.0
1995-06-23,Safe,1995,7.2,62.0
1995-10-13,The Scarlet Letter,1995,5.5,111.0
1995-08-25,The Show,1995,5.3,2.0
1995-09-22,Showgirls,1995,4.9,261.0
1995-06-09,Smoke,1995,7.2,115.0
1995-08-04,Something to Talk About,1995,5.7,60.0
1995-07-07,Species,1995,5.5,457.0
1995-09-15,The Stars Fell on Henrietta,1995,6.6,6.0
1995-10-13,Strange Days,1995,6.8,334.0
1964-02-19,The Umbrellas of Cherbourg,1964,7.6,119.0
1995-09-08,The Tie That Binds,1995,4.6,9.0
1995-10-27,Three Wishes,1995,6.1,18.0
1995-11-02,Total Eclipse,1995,6.5,112.0
1995-09-07,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,6.3,117.0
1995-07-13,Under Siege 2: Dark Territory,1995,5.6,217.0
1995-09-15,Unstrung Heroes,1995,6.4,9.0
1995-08-11,Unzipped,1995,6.0,6.0
1995-08-11,A Walk in the Clouds,1995,6.5,168.0
1995-07-28,Waterworld,1995,5.9,1017.0
1995-12-01,White Man's Burden,1995,5.1,25.0
1995-12-01,Wild Bill,1995,5.9,27.0
1994-10-12,The Browning Version,1994,6.0,11.0
1995-08-04,Bushwhacked,1995,4.9,29.0
1994-05-01,Burnt by the Sun,1994,6.7,35.0
1994-06-09,Before the Rain,1994,7.7,45.0
1995-01-27,Before Sunrise,1995,7.7,984.0
1995-02-10,Billy Madison,1995,6.2,464.0
1995-10-17,The Babysitter,1995,4.7,27.0
1995-02-03,Boys on the Side,1995,6.3,48.0
1995-04-21,The Cure,1995,7.2,58.0
1995-08-04,Castle Freak,1995,5.8,40.0
1995-03-16,Circle of Friends,1995,6.5,30.0
1994-09-13,Clerks,1994,7.4,769.0
1994-10-01,Don Juan DeMarco,1994,6.3,184.0
1994-12-09,Disclosure,1994,5.9,217.0
1995-01-01,Dream Man,1995,2.5,1.0
1994-12-08,Drop Zone,1994,5.1,91.0
1995-04-28,Destiny Turns on the Radio,1995,5.3,9.0
1994-05-04,Death and the Maiden,1994,7.1,92.0
1995-03-24,Dolores Claiborne,1995,7.1,183.0
1994-12-16,Dumb and Dumber,1994,6.5,1894.0
1994-08-03,Eat Drink Man Woman,1994,7.5,76.0
1994-09-24,Exotica,1994,6.5,64.0
1994-10-14,Exit to Eden,1994,4.3,28.0
1994-09-27,Ed Wood,1994,7.3,639.0
1995-05-05,French Kiss,1995,6.2,179.0
1995-05-19,Forget Paris,1995,6.1,38.0
1995-01-13,Far from Home: The Adventures of Yellow Dog,1995,5.6,27.0
1995-04-07,A Goofy Movie,1995,6.7,404.0
1995-03-03,Hideaway,1995,5.0,24.0
1995-06-02,Fluke,1995,6.6,48.0
1994-12-07,Farinelli,1994,5.9,20.0
1995-05-12,Gordy,1995,3.0,4.0
1995-12-01,Gumby: The Movie,1995,5.0,2.0
1994-09-16,The Glass Shield,1994,5.4,9.0
1994-09-12,Hoop Dreams,1994,7.7,91.0
1994-09-02,Heavenly Creatures,1994,6.9,299.0
1995-01-06,Houseguest,1995,6.0,17.0
1994-12-16,Immortal Beloved,1994,6.9,90.0
1995-02-17,Heavyweights,1995,6.0,97.0
1995-02-24,The Hunted,1995,6.0,25.0
1994-12-24,I.Q.,1994,5.9,112.0
1994-11-11,Interview with the Vampire,1994,7.2,1558.0
1995-03-31,Jefferson in Paris,1995,5.2,10.0
1995-02-03,The Jerky Boys,1995,4.8,10.0
1994-11-22,Junior,1994,4.7,381.0
1995-02-17,Just Cause,1995,6.0,124.0
1995-08-11,A Kid in King Arthur's Court,1995,4.3,40.0
1995-04-21,Kiss of Death,1995,5.7,83.0
1977-05-25,Star Wars,1977,8.1,6778.0
1994-12-21,Little Women,1994,7.0,222.0
1995-05-10,A Little Princess,1995,7.4,207.0
1994-02-18,Ladybird Ladybird,1994,7.4,14.0
1994-02-16,L'Enfer,1994,6.6,22.0
1992-04-16,Like Water for Chocolate,1992,6.6,70.0
1994-12-16,Legends of the Fall,1994,7.2,636.0
1995-03-24,Major Payne,1995,6.1,164.0
1994-10-27,Little Odessa,1994,6.4,31.0
1994-06-08,Mi Vida Loca,1994,5.7,9.0
1994-10-21,Love Affair,1994,4.3,11.0
1995-03-17,Losing Isaiah,1995,6.4,28.0
1994-12-28,The Madness of King George,1994,6.7,67.0
1994-11-04,Mary Shelley's Frankenstein,1994,6.1,272.0
1995-03-03,Man of the House,1995,5.1,40.0
1994-12-21,Mixed Nuts,1994,5.2,37.0
1994-08-31,Milk Money,1994,5.6,49.0
1994-11-18,Miracle on 34th Street,1994,6.4,199.0
1995-01-27,Miami Rhapsody,1995,5.6,7.0
1995-05-03,My Family,1995,7.0,11.0
1995-01-20,Murder in the First,1995,6.9,140.0
1994-12-23,Nobody's Fool,1994,7.0,56.0
1994-12-23,Nell,1994,6.1,128.0
1995-04-19,New Jersey Drive,1995,6.9,7.0
1993-08-14,New York Cop,1993,0.0,0.0
1994-04-22,Beyond Bedlam,1994,4.0,4.0
1995-09-26,Nemesis 2 - Nebula,1995,4.6,10.0
1995-03-03,Nina Takes a Lover,1995,7.4,4.0
1994-08-25,Natural Born Killers,1994,6.9,927.0
1994-09-17,Only You,1994,6.4,92.0
1994-09-02,Once Were Warriors,1994,7.6,106.0
1996-01-16,Poison Ivy II: Lily,1996,4.6,32.0
1995-03-10,Outbreak,1995,6.4,522.0
1994-09-14,Leon: The Professional,1994,8.2,4293.0
1995-05-12,The Perez Family,1995,6.6,9.0
1995-04-28,A Pyromaniac's Love Story,1995,7.0,2.0
1994-09-10,Pulp Fiction,1994,8.3,8670.0
1995-11-10,Panther,1995,6.4,6.0
1992-02-01,Pushing Hands,1992,6.1,9.0
1994-01-01,Priest,1994,6.4,32.0
1994-09-16,Quiz Show,1994,7.1,262.0
1995-05-05,Picture Bride,1995,7.4,5.0
1994-05-13,Queen Margot,1994,7.0,67.0
1995-02-09,The Quick and the Dead,1995,6.2,431.0
1995-03-01,Roommates,1995,6.4,7.0
1994-12-23,Prêt-à-Porter,1994,5.3,33.0
1994-05-27,Three Colors: Red,1994,7.8,246.0
1993-01-10,Three Colors: Blue,1993,7.7,311.0
1994-01-26,Three Colors: White,1994,7.3,218.0
1994-10-14,"Red Firecracker, Green Firecracker",1994,7.0,2.0
1995-01-01,Rent-a-Kid,1995,5.1,15.0
1995-10-03,Relative Fear,1995,4.7,3.0
1995-04-12,Stuart Saves His Family,1995,5.0,6.0
1994-11-18,The Swan Princess,1994,6.5,251.0
1994-01-01,The Secret of Roan Inish,1994,6.1,15.0
1994-10-07,The Specialist,1994,5.5,317.0
1994-10-27,Stargate,1994,6.8,942.0
1994-11-10,The Santa Clause,1994,6.3,501.0
1994-09-23,The Shawshank Redemption,1994,8.5,8358.0
1994-12-22,Shallow Grave,1994,7.0,247.0
1993-09-14,Suture,1993,6.0,7.0
1993-01-01,Strawberry and Chocolate,1993,7.1,16.0
1994-09-10,Swimming with Sharks,1994,6.7,104.0
1994-07-12,The Sum of Us,1994,6.0,21.0
1995-09-08,Senior Trip,1995,5.7,23.0
1994-06-30,To Live,1994,7.7,62.0
1995-03-31,Tank Girl,1995,5.5,140.0
1995-01-13,Tales from the Crypt: Demon Knight,1995,6.7,96.0
1994-11-17,Star Trek: Generations,1994,6.4,461.0
1995-05-24,Tales from the Hood,1995,5.4,33.0
1994-04-15,Tom & Viv,1994,5.8,8.0
1995-04-28,Village of the Damned,1995,5.6,165.0
1995-03-31,Tommy Boy,1995,6.8,321.0
1994-09-13,Vanya on 42nd Street,1994,6.1,15.0
1995-04-28,The Underneath,1995,5.6,15.0
1995-02-24,The Walking Dead,1995,6.6,4.0
1993-12-17,What's Eating Gilbert Grape,1993,7.5,943.0
1995-08-04,Virtuosity,1995,5.4,163.0
1995-04-21,While You Were Sleeping,1995,6.5,340.0
1994-11-04,The War,1994,6.3,39.0
1994-09-07,Double Happiness,1994,5.5,2.0
1994-09-29,Muriel's Wedding,1994,6.9,104.0
1995-08-18,The Baby-Sitters Club,1995,5.3,23.0
1994-02-04,Ace Ventura: Pet Detective,1994,6.4,1684.0
1994-05-31,"The Adventures of Priscilla, Queen of the Desert",1994,7.2,174.0
1994-04-01,Backbeat,1994,6.2,37.0
1992-09-02,Bitter Moon,1992,7.0,115.0
1994-10-14,Bullets Over Broadway,1994,7.0,130.0
1994-08-03,Clear and Present Danger,1994,6.4,390.0
1994-07-20,The Client,1994,6.4,287.0
1994-08-12,"Corrina, Corrina",1994,6.4,83.0
1994-05-13,Crooklyn,1994,6.7,31.0
1994-05-11,The Crow,1994,7.3,980.0
1994-12-02,Cobb,1994,6.1,29.0
1994-05-26,The Flintstones,1994,5.0,559.0
1994-07-06,Forrest Gump,1994,8.2,8147.0
1994-03-09,Four Weddings and a Funeral,1994,6.6,654.0
1995-01-11,Higher Learning,1995,6.4,49.0
1994-10-14,I Like It Like That,1994,6.3,4.0
1994-06-29,I Love Trouble,1994,5.3,41.0
1994-07-29,It Could Happen to You,1994,6.1,154.0
1994-12-23,The Jungle Book,1994,5.9,107.0
1993-09-11,"The Wonderful, Horrible Life of Leni Riefenstahl",1993,7.3,5.0
1994-06-23,The Lion King,1994,8.0,5520.0
1993-12-01,Little Buddha,1993,6.0,76.0
1994-10-13,New Nightmare,1994,6.4,297.0
1994-07-29,The Mask,1994,6.6,2550.0
1994-05-20,Maverick,1994,6.6,490.0
1994-09-07,Mrs. Parker and the Vicious Circle,1994,6.3,20.0
1994-03-18,The Naked Gun 33⅓: The Final Insult,1994,6.4,535.0
1994-03-18,The Paper,1994,6.1,40.0
1994-02-18,Reality Bites,1994,6.5,180.0
1993-07-08,Red Rock West,1993,6.4,71.0
1994-12-19,Ri¢hie Ri¢h,1994,5.4,426.0
1994-12-01,Safe Passage,1994,4.9,7.0
1994-09-30,The River Wild,1994,6.1,214.0
1994-06-09,Speed,1994,6.8,1814.0
1994-12-16,Speechless,1994,5.5,24.0
1994-09-15,Timecop,1994,5.5,288.0
1994-07-14,True Lies,1994,6.8,1138.0
1994-04-29,When a Man Loves a Woman,1994,6.0,71.0
1994-06-17,Wolf,1994,6.0,221.0
1994-06-24,Wyatt Earp,1994,6.5,203.0
1995-01-20,Bad Company,1995,4.9,12.0
1994-12-22,A Man of No Importance,1994,6.5,2.0
1994-09-15,S.F.W.,1994,6.1,22.0
1994-11-23,A Low Down Dirty Shame,1994,6.0,31.0
1994-09-30,"Boys Life: Three Stories of Love, Lust, and Liberation",1994,2.0,1.0
1994-01-01,Colonel Chabert,1994,5.9,9.0
1965-08-06,"Faster, Pussycat! Kill! Kill!",1965,6.5,59.0
1994-09-28,Jason's Lyric,1994,5.9,9.0
1993-12-10,The Secret Adventures of Tom Thumb,1993,7.1,8.0
1994-12-22,Street Fighter,1994,4.1,330.0
1995-09-15,Coldblooded,1995,6.7,13.0
1997-12-31,Desert Winds,1997,0.0,0.0
1995-05-13,Fall Time,1995,6.3,6.0
1995-01-20,The Fear,1995,3.4,7.0
1995-10-20,Frank and Ollie,1995,7.5,4.0
1995-10-24,Girl in the Cadillac,1995,10.0,1.0
1995-05-03,Homage,1995,0.0,0.0
1995-11-21,Mirage,1995,4.0,1.0
1996-05-03,Open Season,1996,0.0,0.0
1995-05-26,Dos Crímenes,1995,5.0,1.0
1995-03-01,Brother Minister: The Assassination of Malcolm X,1995,4.0,1.0
1994-11-29,Highlander: The Final Dimension,1994,4.5,110.0
1995-02-24,Federal Hill,1995,5.0,2.0
1994-12-12,In the Mouth of Madness,1994,7.1,307.0
1994-02-25,8 Seconds,1994,7.2,22.0
1994-03-23,Above the Rim,1994,6.7,40.0
1993-11-19,Addams Family Values,1993,6.5,537.0
1994-04-27,Martin Lawrence: You So Crazy,1994,4.5,4.0
1993-09-17,The Age of Innocence,1993,7.0,172.0
1994-08-05,Airheads,1994,5.8,222.0
1994-01-07,The Air Up There,1994,5.1,42.0
1993-07-22,Another Stakeout,1993,4.9,58.0
1994-04-22,Bad Girls,1994,4.6,61.0
1994-07-29,Barcelona,1994,6.6,20.0
1994-05-06,Being Human,1994,5.0,15.0
1993-10-15,The Beverly Hillbillies,1993,5.0,86.0
1994-05-24,Beverly Hills Cop III,1994,5.5,445.0
1994-07-29,Black Beauty,1994,6.6,68.0
1994-01-26,Blink,1994,6.3,45.0
1994-07-01,Blown Away,1994,6.0,126.0
1994-02-18,Blue Chips,1994,5.7,41.0
1994-09-16,Blue Sky,1994,6.1,28.0
1993-06-09,Body Snatchers,1993,5.8,102.0
1993-06-18,Boxing Helena,1993,4.5,59.0
1993-09-14,A Bronx Tale,1993,7.4,447.0
1994-01-07,Cabin Boy,1994,4.9,28.0
1993-09-03,Calendar Girl,1993,3.7,10.0
1993-11-10,Carlito's Way,1993,7.7,805.0
1994-06-10,City Slickers II: The Legend of Curly's Gold,1994,4.9,103.0
1994-05-06,Clean Slate,1994,5.7,25.0
1993-05-28,Cliffhanger,1993,6.1,600.0
1993-07-23,Coneheads,1993,4.8,228.0
1994-08-19,Color of Night,1994,5.4,117.0
1994-04-15,Cops & Robbersons,1994,5.0,36.0
1994-06-03,The Cowboy Way,1994,5.1,38.0
1993-11-19,Dangerous Game,1993,5.4,9.0
1993-05-07,Dave,1993,6.3,205.0
1993-09-24,Dazed and Confused,1993,7.4,588.0
1993-10-08,Demolition Man,1993,6.4,1018.0
1994-06-03,The Endless Summer 2,1994,7.1,12.0
1994-05-13,Even Cowgirls Get the Blues,1994,4.2,29.0
1993-10-29,Fatal Instinct,1993,5.4,37.0
1993-09-16,Farewell My Concubine,1993,7.8,98.0
1994-04-29,The Favor,1994,3.3,6.0
1993-10-15,Fearless,1993,6.8,80.0
1994-10-28,Fear of a Black Hat,1994,5.8,11.0
1994-04-29,With Honors,1994,6.1,54.0
1993-11-05,Flesh and Bone,1993,6.2,22.0
1994-05-13,Widows' Peak,1994,4.3,3.0
1993-10-01,For Love or Money,1993,5.7,77.0
1993-06-30,The Firm,1993,6.6,513.0
1993-07-16,Free Willy,1993,6.0,429.0
1994-08-24,Fresh,1994,7.6,56.0
1993-08-06,The Fugitive,1993,7.2,1240.0
1993-12-10,Geronimo: An American Legend,1993,5.9,44.0
1994-02-11,The Getaway,1994,5.4,81.0
1994-06-17,Getting Even with Dad,1994,4.5,43.0
1994-06-10,Go Fish,1994,3.9,5.0
1994-07-14,A Good Man in Africa,1994,5.2,11.0
1993-06-04,Guilty as Sin,1993,5.6,21.0
1993-08-20,Hard Target,1993,6.1,237.0
1993-12-24,Heaven & Earth,1993,6.4,51.0
1993-05-21,Hot Shots! Part Deux,1993,6.2,463.0
1995-12-08,Live Nude Girls,1995,4.7,12.0
1995-05-12,The Englishman Who Went Up a Hill But Came Down a Mountain,1995,6.1,83.0
1993-10-19,The House of the Spirits,1993,6.7,135.0
1994-01-01,House Party 3,1994,4.6,11.0
1994-03-11,The Hudsucker Proxy,1994,7.1,280.0
1994-02-04,I'll Do Anything,1994,5.7,18.0
1994-08-12,In the Army Now,1994,4.7,54.0
1993-07-08,In the Line of Fire,1993,6.8,392.0
1993-12-12,In the Name of the Father,1993,7.6,363.0
1994-04-22,The Inkwell,1994,3.9,5.0
1993-06-09,What's Love Got to Do with It,1993,6.9,75.0
1994-03-30,Jimmy Hollywood,1994,4.6,17.0
1993-10-15,Judgment Night,1993,6.4,79.0
1993-06-11,Jurassic Park,1993,7.6,4956.0
1993-09-01,Kalifornia,1993,6.5,209.0
1993-10-01,Killing Zoe,1993,6.1,111.0
1993-08-20,King of the Hill,1993,6.4,33.0
1994-07-22,Lassie,1994,6.1,54.0
1993-06-18,Last Action Hero,1993,6.1,725.0
1993-06-04,Life With Mikey,1993,5.1,24.0
1994-03-11,Lightning Jack,1994,5.7,40.0
1993-09-09,M. Butterfly,1993,6.6,35.0
1993-05-27,Made in America,1993,5.3,86.0
1993-09-29,Malice,1993,5.9,105.0
1993-08-25,The Man without a Face,1993,6.2,125.0
1993-08-18,Manhattan Murder Mystery,1993,7.1,169.0
1993-05-26,Menace II Society,1993,7.2,179.0
1996-03-15,Executive Decision,1996,5.8,261.0
1976-05-15,In the Realm of the Senses,1976,6.5,112.0
1994-09-09,What Happened Was...,1994,7.0,7.0
1993-05-07,Much Ado About Nothing,1993,7.2,194.0
1993-10-08,Mr. Jones,1993,5.9,35.0
1993-10-15,Mr. Wonderful,1993,5.5,11.0
1993-11-24,Mrs. Doubtfire,1993,7.0,1638.0
1993-09-14,Naked,1993,7.5,105.0
1994-07-18,The Next Karate Kid,1994,4.8,202.0
1994-09-16,The New Age,1994,4.8,5.0
1994-04-29,No Escape,1994,6.1,86.0
1994-07-22,North,1994,4.8,67.0
1992-09-01,Orlando,1992,6.7,53.0
1993-11-24,A Perfect World,1993,7.2,376.0
1993-12-22,Philadelphia,1993,7.6,1019.0
1993-05-19,The Piano,1993,7.1,290.0
1993-07-23,Poetic Justice,1993,6.9,47.0
1993-09-24,The Program,1993,6.0,28.0
1994-10-21,The Puppet Masters,1994,5.6,41.0
1994-10-21,Radioland Murders,1994,5.8,12.0
1994-03-09,The Ref,1994,6.7,99.0
1993-11-05,The Remains of the Day,1993,7.5,213.0
1994-06-03,Renaissance Man,1994,5.9,83.0
1993-07-30,Rising Sun,1993,5.8,188.0
1994-10-28,The Road to Wellville,1994,5.5,43.0
1993-04-17,RoboCop 3,1993,4.2,309.0
1993-07-28,Robin Hood: Men in Tights,1993,6.4,575.0
1993-09-13,Romeo Is Bleeding,1993,5.7,36.0
1992-03-05,Romper Stomper,1992,6.6,126.0
1993-10-08,Ruby in Paradise,1993,5.6,10.0
1993-09-17,Rudy,1993,7.2,187.0
1993-11-03,The Saint of Fort Washington,1993,4.0,5.0
1992-08-19,Savage Nights,1992,6.2,11.0
1993-11-29,Schindler's List,1993,8.3,4436.0
1994-09-30,The Scout,1994,5.3,37.0
1993-08-13,Searching for Bobby Fischer,1993,7.3,100.0
1994-09-30,Second Best,1994,5.9,8.0
